0, 0, 0, 0, 0, 0, 0, 0, 0, 0|111111111
1, 0, 0, 0, 0, 0, 0, 0, 0, 1|000010000
0, 1, 0, 0, 0, 0, 0, 0, 0, 1|101010010
0, 0, 1, 0, 0, 0, 0, 0, 0, 1|000010000
0, 0, 0, 1, 0, 0, 0, 0, 0, 1|100011100
0, 0, 0, 0, 1, 0, 0, 0, 0, 1|101000101
0, 0, 0, 0, 0, 1, 0, 0, 0, 1|001110001
0, 0, 0, 0, 0, 0, 1, 0, 0, 1|000010000
0, 0, 0, 0, 0, 0, 0, 1, 0, 1|010010101
0, 0, 0, 0, 0, 0, 0, 0, 1, 1|000010000
1, -1, 0, 0, 0, 0, 0, 0, 0, -1|000110100
1, 0, -1, 0, 0, 0, 0, 0, 0, -1|000100101
1, 0, 0, -1, 0, 0, 0, 0, 0, -1|011010000
1, 0, 0, 0, -1, 0, 0, 0, 0, -1|011101111
1, 0, 0, 0, 0, -1, 0, 0, 0, -1|001010100
1, 0, 0, 0, 0, 0, -1, 0, 0, -1|011000001
1, 0, 0, 0, 0, 0, 0, -1, 0, -1|001010100
1, 0, 0, 0, 0, 0, 0, 0, -1, -1|001000100
-1, 1, 0, 0, 0, 0, 0, 0, 0, -1|000110101
0, 1, -1, 0, 0, 0, 0, 0, 0, -1|000011101
0, 1, 0, -1, 0, 0, 0, 0, 0, -1|100010000
0, 1, 0, 0, -1, 0, 0, 0, 0, -1|101101101
0, 1, 0, 0, 0, -1, 0, 0, 0, -1|001010000
0, 1, 0, 0, 0, 0, -1, 0, 0, -1|100000000
0, 1, 0, 0, 0, 0, 0, -1, 0, -1|101111101
0, 1, 0, 0, 0, 0, 0, 0, -1, -1|001000000
-1, 0, 1, 0, 0, 0, 0, 0, 0, -1|000001101
0, -1, 1, 0, 0, 0, 0, 0, 0, -1|000011001
0, 0, 1, -1, 0, 0, 0, 0, 0, -1|100010001
0, 0, 1, 0, -1, 0, 0, 0, 0, -1|110101111
0, 0, 1, 0, 0, -1, 0, 0, 0, -1|110010000
0, 0, 1, 0, 0, 0, -1, 0, 0, -1|100000001
0, 0, 1, 0, 0, 0, 0, -1, 0, -1|100010001
0, 0, 1, 0, 0, 0, 0, 0, -1, -1|110000100
-1, 0, 0, 1, 0, 0, 0, 0, 0, -1|011010001
0, -1, 0, 1, 0, 0, 0, 0, 0, -1|100010000
0, 0, -1, 1, 0, 0, 0, 0, 0, -1|100000000
0, 0, 0, 1, -1, 0, 0, 0, 0, -1|111000111
0, 0, 0, 1, 0, -1, 0, 0, 0, -1|111010111
0, 0, 0, 1, 0, 0, -1, 0, 0, -1|001010011
0, 0, 0, 1, 0, 0, 0, -1, 0, -1|000010100
0, 0, 0, 1, 0, 0, 0, 0, -1, -1|000000100
-1, 0, 0, 0, 1, 0, 0, 0, 0, -1|011101111
0, -1, 0, 0, 1, 0, 0, 0, 0, -1|101101101
0, 0, -1, 0, 1, 0, 0, 0, 0, -1|110101111
0, 0, 0, -1, 1, 0, 0, 0, 0, -1|111000111
0, 0, 0, 0, 1, -1, 0, 0, 0, -1|111000111
0, 0, 0, 0, 1, 0, -1, 0, 0, -1|111101011
0, 0, 0, 0, 1, 0, 0, -1, 0, -1|101101101
0, 0, 0, 0, 1, 0, 0, 0, -1, -1|111101110
-1, 0, 0, 0, 0, 1, 0, 0, 0, -1|001000000
0, -1, 0, 0, 0, 1, 0, 0, 0, -1|001010000
0, 0, -1, 0, 0, 1, 0, 0, 0, -1|110010100
0, 0, 0, -1, 0, 1, 0, 0, 0, -1|111010111
0, 0, 0, 0, -1, 1, 0, 0, 0, -1|111000111
0, 0, 0, 0, 0, 1, -1, 0, 0, -1|000000001
